1:[(2, 'BLUE'), (5, 'BLUE'), (9, 'RED'), (7, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (9, 'RED'), (7, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (1, 'WHITE'), (8, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (7, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (8, 'WHITE'), (4, 'RED'), (10, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (7, 'WHITE'), (3, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (8, 'WHITE'), (7, 'RED'), (5, 'WHITE'), (2, 'RED'), (8, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (3, 'WHITE')]
2:[(10, 'BLUE'), (6, 'BLUE'), (2, 'BLUE'), (7, 'RED'), (8, 'RED'), (7, 'RED'), (5, 'WHITE'), (5, 'WHITE'), (6, 'WHITE'), (9, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (6, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (5, 'WHITE'), (10, 'WHITE'), (1, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (5, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (9, 'WHITE'), (1, 'WHITE'), (6, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (0, 'WHITE'), (1, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (3, 'RED'), (9, 'WHITE'), (8, 'WHITE'), (3, 'WHITE'), (0, 'WHITE'), (9, 'WHITE'), (5, 'WHITE'), (6, 'WHITE'), (10, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (7, 'WHITE'), (5, 'WHITE'), (2, 'RED')]
3:[(0, 'WHITE'), (5, 'BLUE'), (3, 'RED'), (7, 'WHITE'), (6, 'WHITE'), (4, 'WHITE'), (7, 'WHITE'), (5, 'WHITE'), (7, 'WHITE'), (10, 'RED'), (6, 'WHITE'), (10, 'WHITE'), (2, 'RED'), (2, 'WHITE'), (3, 'RED'), (10, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (9, 'WHITE'), (9, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (3, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (0, 'RED'), (9, 'RED'), (3, 'WHITE'), (5, 'WHITE'), (1, 'WHITE'), (0, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (3, 'WHITE'), (10, 'WHITE'), (3, 'WHITE'), (8, 'WHITE')]
4:[(1, 'WHITE'), (6, 'WHITE'), (7, 'WHITE'), (7, 'WHITE'), (6, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (5, 'RED'), (1, 'WHITE'), (5, 'RED'), (4, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (5, 'WHITE'), (1, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (10, 'RED'), (5, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (3, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (1, 'RED'), (6, 'WHITE'), (9, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (9, 'RED'), (8, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (3, 'WHITE')]
5:[(1, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (9, 'RED'), (9, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (6, 'WHITE'), (0, 'WHITE'), (7, 'WHITE'), (6, 'WHITE'), (8, 'WHITE'), (5, 'WHITE'), (9, 'WHITE'), (6, 'RED'), (0, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (1, 'RED'), (3, 'WHITE'), (6, 'WHITE'), (5, 'WHITE'), (3, 'WHITE'), (9, 'WHITE'), (5, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (9, 'RED'), (1, 'WHITE'), (6, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (7, 'RED'), (5, 'WHITE'), (10, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (1, 'RED'), (7, 'WHITE')]
6:[(2, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (0, 'WHITE'), (8, 'WHITE'), (1, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (1, 'RED'), (4, 'RED'), (2, 'WHITE'), (5, 'WHITE'), (0, 'RED'), (5, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (3, 'RED'), (9, 'WHITE'), (7, 'WHITE'), (9, 'WHITE'), (4, 'RED'), (0, 'WHITE'), (9, 'WHITE'), (3, 'RED'), (1, 'WHITE'), (3, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (1, 'RED'), (6, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (7, 'WHITE'), (0, 'WHITE'), (3, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (3, 'RED'), (5, 'RED')]
7:[(3, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (8, 'RED'), (4, 'WHITE'), (1, 'WHITE'), (6, 'RED'), (1, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (6, 'WHITE'), (6, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (0, 'WHITE'), (6, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (5, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (8, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (0, 'WHITE'), (0, 'WHITE'), (1, 'WHITE'), (3, 'RED'), (9, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (0, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (0, 'WHITE'), (6, 'WHITE')]
8:[(1, 'WHITE'), (8, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (10, 'RED'), (0, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (6, 'WHITE'), (3, 'WHITE'), (2, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (6, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (7, 'WHITE'), (9, 'WHITE'), (3, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (6, 'RED'), (1, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (8, 'RED'), (2, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (10, 'RED'), (8, 'RED'), (0, 'WHITE')]
9:[(6, 'WHITE'), (7, 'WHITE'), (9, 'RED'), (3, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (0, 'WHITE'), (1, 'WHITE'), (6, 'RED'), (3, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (10, 'RED'), (8, 'RED'), (2, 'WHITE'), (3, 'WHITE'), (8, 'WHITE'), (5, 'WHITE'), (8, 'RED'), (4, 'WHITE'), (9, 'WHITE'), (3, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (9, 'WHITE'), (5, 'WHITE'), (0, 'WHITE'), (4, 'RED'), (0, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (8, 'WHITE')]
10:[(7, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (9, 'RED'), (9, 'RED'), (1, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (3, 'WHITE'), (2, 'WHITE'), (8, 'RED'), (0, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (1, 'WHITE'), (9, 'WHITE'), (6, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (9, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (5, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (3, 'WHITE'), (10, 'WHITE'), (2, 'RED'), (5, 'WHITE'), (3, 'WHITE'), (7, 'WHITE')]
11:[(5, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (4, 'WHITE'), (7, 'WHITE'), (0, 'RED'), (9, 'RED'), (6, 'WHITE'), (5, 'WHITE'), (9, 'RED'), (4, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (7, 'RED'), (2, 'WHITE'), (1, 'WHITE'), (1, 'RED'), (4, 'WHITE'), (2, 'WHITE'), (6, 'WHITE'), (0, 'WHITE'), (9, 'RED'), (10, 'WHITE'), (3, 'WHITE'), (9, 'RED'), (9, 'WHITE'), (9, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (5, 'RED'), (2, 'WHITE'), (0, 'WHITE'), (2, 'WHITE'), (10, 'RED'), (10, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (2, 'WHITE'), (7, 'WHITE')]
